ID	species	abundance	season
49	Catenibacterium_mitsuokai	16.17244	2014wet
50	Catenibacterium_mitsuokai	0.43589	2014wet
51	Catenibacterium_mitsuokai	0.62706	2014wet
52	Catenibacterium_mitsuokai	3.49404	2014wet
53	Catenibacterium_mitsuokai	3.12518	2014wet
54	Catenibacterium_mitsuokai	9.99767	2014wet
55	Catenibacterium_mitsuokai	0.23803	2014dry
56	Catenibacterium_mitsuokai	4.24849	2014dry
57	Catenibacterium_mitsuokai	1.14117	2014wet
58	Catenibacterium_mitsuokai	1.55787	2014wet
59	Catenibacterium_mitsuokai	0.0589	2013dry
60	Catenibacterium_mitsuokai	0.58174	2013dry
61	Catenibacterium_mitsuokai	0.0	2013dry
62	Catenibacterium_mitsuokai	0.0	2013dry
63	Catenibacterium_mitsuokai	1.27737	2013dry
64	Catenibacterium_mitsuokai	2.95703	2013dry
65	Catenibacterium_mitsuokai	19.91029	2013dry
66	Catenibacterium_mitsuokai	3.39671	2013dry
67	Catenibacterium_mitsuokai	0.76142	2014dry
68	Catenibacterium_mitsuokai	0.0	2014dry
69	Catenibacterium_mitsuokai	0.91367	2014dry
70	Catenibacterium_mitsuokai	0.0	2014dry
71	Catenibacterium_mitsuokai	1.79526	2014dry
72	Catenibacterium_mitsuokai	1.38702	2014dry
73	Catenibacterium_mitsuokai	0.0	2014dry
74	Catenibacterium_mitsuokai	3.99043	2014wet
75	Catenibacterium_mitsuokai	0.0	2014wet
76	Catenibacterium_mitsuokai	0.95224	2014wet
77	Catenibacterium_mitsuokai	0.0525	2014wet
78	Catenibacterium_mitsuokai	1.11396	2014wet
79	Catenibacterium_mitsuokai	0.02488	2014wet
80	Catenibacterium_mitsuokai	2.26058	2014wet
81	Catenibacterium_mitsuokai	0.44701	2014wet
82	Catenibacterium_mitsuokai	0.54373	2014wet
83	Catenibacterium_mitsuokai	6.00809	2014wet
84	Catenibacterium_mitsuokai	1.73711	2014dry
45	Clostridium_bartlettii	0.0	2014dry
46	Clostridium_bartlettii	0.03034	2014dry
47	Clostridium_bartlettii	1.23218	2014wet
48	Clostridium_bartlettii	0.0	2014dry
49	Clostridium_bartlettii	1.45498	2014wet
50	Clostridium_bartlettii	0.24065	2014wet
51	Clostridium_bartlettii	0.61094	2014wet
52	Clostridium_bartlettii	1.73541	2014wet
53	Clostridium_bartlettii	2.43723	2014wet
54	Clostridium_bartlettii	0.74878	2014wet
55	Clostridium_bartlettii	0.07512	2014dry
56	Clostridium_bartlettii	0.05504	2014dry
57	Clostridium_bartlettii	0.26096	2014wet
58	Clostridium_bartlettii	0.0789	2014wet
59	Clostridium_bartlettii	0.27529	2013dry
60	Clostridium_bartlettii	0.33783	2013dry
61	Clostridium_bartlettii	0.0	2013dry
62	Clostridium_bartlettii	0.35526	2013dry
63	Clostridium_bartlettii	0.06648	2013dry
64	Clostridium_bartlettii	0.70748	2013dry
65	Clostridium_bartlettii	0.07432	2013dry
66	Clostridium_bartlettii	0.0	2013dry
67	Clostridium_bartlettii	0.05557	2014dry
68	Clostridium_bartlettii	0.0	2014dry
69	Clostridium_bartlettii	0.0	2014dry
70	Clostridium_bartlettii	0.0	2014dry
71	Clostridium_bartlettii	0.0	2014dry
72	Clostridium_bartlettii	0.12628	2014dry
73	Clostridium_bartlettii	0.0	2014dry
74	Clostridium_bartlettii	0.79518	2014wet
75	Clostridium_bartlettii	1.72385	2014wet
76	Clostridium_bartlettii	2.57094	2014wet
77	Clostridium_bartlettii	4.5165	2014wet
78	Clostridium_bartlettii	0.01487	2014wet
79	Clostridium_bartlettii	0.0	2014wet
80	Clostridium_bartlettii	0.20902	2014wet
81	Clostridium_bartlettii	0.0	2014wet
82	Clostridium_bartlettii	1.83967	2014wet
83	Clostridium_bartlettii	0.32795	2014wet
84	Clostridium_bartlettii	2.21832	2014dry
45	Collinsella_aerofaciens	1.56235	2014dry
46	Collinsella_aerofaciens	2.20223	2014dry
47	Collinsella_aerofaciens	2.02535	2014wet
48	Collinsella_aerofaciens	10.41176	2014dry
49	Collinsella_aerofaciens	2.95108	2014wet
50	Collinsella_aerofaciens	1.29643	2014wet
51	Collinsella_aerofaciens	2.19845	2014wet
52	Collinsella_aerofaciens	2.73451	2014wet
53	Collinsella_aerofaciens	2.19402	2014wet
54	Collinsella_aerofaciens	1.07246	2014wet
55	Collinsella_aerofaciens	1.65027	2014dry
56	Collinsella_aerofaciens	2.79005	2014dry
57	Collinsella_aerofaciens	3.59407	2014wet
58	Collinsella_aerofaciens	1.39677	2014wet
59	Collinsella_aerofaciens	0.30526	2013dry
60	Collinsella_aerofaciens	1.8969	2013dry
61	Collinsella_aerofaciens	0.10664	2013dry
62	Collinsella_aerofaciens	0.13326	2013dry
63	Collinsella_aerofaciens	0.57526	2013dry
64	Collinsella_aerofaciens	1.04083	2013dry
65	Collinsella_aerofaciens	6.44391	2013dry
66	Collinsella_aerofaciens	0.51763	2013dry
67	Collinsella_aerofaciens	1.01299	2014dry
68	Collinsella_aerofaciens	0.50119	2014dry
69	Collinsella_aerofaciens	0.82483	2014dry
70	Collinsella_aerofaciens	0.67734	2014dry
71	Collinsella_aerofaciens	0.26085	2014dry
72	Collinsella_aerofaciens	4.87456	2014dry
73	Collinsella_aerofaciens	1.88719	2014dry
74	Collinsella_aerofaciens	7.15478	2014wet
75	Collinsella_aerofaciens	2.38315	2014wet
76	Collinsella_aerofaciens	4.94069	2014wet
77	Collinsella_aerofaciens	2.82254	2014wet
78	Collinsella_aerofaciens	7.96965	2014wet
79	Collinsella_aerofaciens	5.14972	2014wet
80	Collinsella_aerofaciens	5.0382	2014wet
81	Collinsella_aerofaciens	1.61857	2014wet
82	Collinsella_aerofaciens	1.09272	2014wet
83	Collinsella_aerofaciens	3.08679	2014wet
84	Collinsella_aerofaciens	1.22762	2014dry
45	Coprococcus_catus	0.6117	2014dry
46	Coprococcus_catus	0.53933	2014dry
47	Coprococcus_catus	2.46627	2014wet
48	Coprococcus_catus	0.06494	2014dry
49	Coprococcus_catus	2.21598	2014wet
50	Coprococcus_catus	0.90057	2014wet
51	Coprococcus_catus	0.87328	2014wet
52	Coprococcus_catus	1.72484	2014wet
53	Coprococcus_catus	1.16827	2014wet
54	Coprococcus_catus	0.79598	2014wet
55	Coprococcus_catus	0.44858	2014dry
56	Coprococcus_catus	1.00746	2014dry
57	Coprococcus_catus	0.57652	2014wet
58	Coprococcus_catus	3.22152	2014wet
59	Coprococcus_catus	0.58732	2013dry
60	Coprococcus_catus	0.50284	2013dry
61	Coprococcus_catus	0.83771	2013dry
62	Coprococcus_catus	0.68953	2013dry
63	Coprococcus_catus	0.73162	2013dry
64	Coprococcus_catus	2.20427	2013dry
65	Coprococcus_catus	0.51129	2013dry
66	Coprococcus_catus	0.39898	2013dry
67	Coprococcus_catus	0.22065	2014dry
68	Coprococcus_catus	1.43799	2014dry
69	Coprococcus_catus	0.31282	2014dry
70	Coprococcus_catus	0.57127	2014dry
71	Coprococcus_catus	0.15675	2014dry
72	Coprococcus_catus	1.95566	2014dry
73	Coprococcus_catus	1.60909	2014dry
74	Coprococcus_catus	1.80455	2014wet
75	Coprococcus_catus	0.84419	2014wet
76	Coprococcus_catus	1.05748	2014wet
77	Coprococcus_catus	0.65127	2014wet
78	Coprococcus_catus	1.29197	2014wet
79	Coprococcus_catus	0.75709	2014wet
80	Coprococcus_catus	0.72186	2014wet
81	Coprococcus_catus	2.00872	2014wet
82	Coprococcus_catus	0.89912	2014wet
83	Coprococcus_catus	0.59757	2014wet
84	Coprococcus_catus	1.50997	2014dry
45	Coprococcus_comes	0.67194	2014dry
46	Coprococcus_comes	1.63171	2014dry
47	Coprococcus_comes	3.52716	2014wet
48	Coprococcus_comes	0.57382	2014dry
49	Coprococcus_comes	2.74972	2014wet
50	Coprococcus_comes	1.22603	2014wet
51	Coprococcus_comes	2.24009	2014wet
52	Coprococcus_comes	2.77112	2014wet
53	Coprococcus_comes	1.21929	2014wet
54	Coprococcus_comes	4.0268	2014wet
55	Coprococcus_comes	1.22747	2014dry
56	Coprococcus_comes	12.15521	2014dry
57	Coprococcus_comes	0.49114	2014wet
58	Coprococcus_comes	1.7381	2014wet
59	Coprococcus_comes	0.31056	2013dry
60	Coprococcus_comes	1.2694	2013dry
61	Coprococcus_comes	1.42662	2013dry
62	Coprococcus_comes	0.23155	2013dry
63	Coprococcus_comes	2.30835	2013dry
64	Coprococcus_comes	0.86805	2013dry
65	Coprococcus_comes	2.48418	2013dry
66	Coprococcus_comes	3.0918	2013dry
67	Coprococcus_comes	1.27661	2014dry
68	Coprococcus_comes	1.22778	2014dry
69	Coprococcus_comes	0.25966	2014dry
70	Coprococcus_comes	1.25204	2014dry
71	Coprococcus_comes	0.91417	2014dry
72	Coprococcus_comes	4.04127	2014dry
73	Coprococcus_comes	1.38612	2014dry
74	Coprococcus_comes	0.66372	2014wet
75	Coprococcus_comes	0.54796	2014wet
76	Coprococcus_comes	0.55009	2014wet
77	Coprococcus_comes	0.41045	2014wet
78	Coprococcus_comes	4.19243	2014wet
79	Coprococcus_comes	1.15263	2014wet
80	Coprococcus_comes	2.40982	2014wet
81	Coprococcus_comes	2.66726	2014wet
82	Coprococcus_comes	2.3245	2014wet
83	Coprococcus_comes	0.82799	2014wet
84	Coprococcus_comes	3.21043	2014dry
45	Dorea_formicigenerans	0.65253	2014dry
46	Dorea_formicigenerans	0.8079	2014dry
47	Dorea_formicigenerans	7.4304	2014wet
48	Dorea_formicigenerans	4.74674	2014dry
49	Dorea_formicigenerans	8.93248	2014wet
50	Dorea_formicigenerans	8.57733	2014wet
51	Dorea_formicigenerans	10.36955	2014wet
52	Dorea_formicigenerans	9.42042	2014wet
53	Dorea_formicigenerans	5.60774	2014wet
54	Dorea_formicigenerans	6.70331	2014wet
55	Dorea_formicigenerans	0.72802	2014dry
56	Dorea_formicigenerans	6.84654	2014dry
57	Dorea_formicigenerans	3.81438	2014wet
58	Dorea_formicigenerans	2.52391	2014wet
59	Dorea_formicigenerans	0.89099	2013dry
60	Dorea_formicigenerans	1.798	2013dry
61	Dorea_formicigenerans	0.39005	2013dry
62	Dorea_formicigenerans	0.64651	2013dry
63	Dorea_formicigenerans	1.35737	2013dry
64	Dorea_formicigenerans	1.68573	2013dry
65	Dorea_formicigenerans	5.70719	2013dry
66	Dorea_formicigenerans	4.5028	2013dry
67	Dorea_formicigenerans	1.72649	2014dry
68	Dorea_formicigenerans	1.45732	2014dry
69	Dorea_formicigenerans	0.67791	2014dry
70	Dorea_formicigenerans	0.9491	2014dry
71	Dorea_formicigenerans	0.47522	2014dry
72	Dorea_formicigenerans	1.6436	2014dry
73	Dorea_formicigenerans	1.8248	2014dry
74	Dorea_formicigenerans	2.68608	2014wet
75	Dorea_formicigenerans	0.97342	2014wet
76	Dorea_formicigenerans	0.85847	2014wet
77	Dorea_formicigenerans	2.32867	2014wet
78	Dorea_formicigenerans	4.09482	2014wet
79	Dorea_formicigenerans	3.04518	2014wet
80	Dorea_formicigenerans	9.71467	2014wet
81	Dorea_formicigenerans	9.69259	2014wet
82	Dorea_formicigenerans	5.75035	2014wet
83	Dorea_formicigenerans	3.08601	2014wet
84	Dorea_formicigenerans	2.17461	2014dry
45	Dorea_longicatena	0.3057	2014dry
46	Dorea_longicatena	1.62451	2014dry
47	Dorea_longicatena	0.4066	2014wet
48	Dorea_longicatena	0.87801	2014dry
49	Dorea_longicatena	1.16546	2014wet
50	Dorea_longicatena	0.42126	2014wet
51	Dorea_longicatena	1.4328	2014wet
52	Dorea_longicatena	0.72174	2014wet
53	Dorea_longicatena	4.00418	2014wet
54	Dorea_longicatena	0.51544	2014wet
55	Dorea_longicatena	0.33709	2014dry
56	Dorea_longicatena	0.85476	2014dry
57	Dorea_longicatena	0.84205	2014wet
58	Dorea_longicatena	1.76435	2014wet
59	Dorea_longicatena	0.43988	2013dry
60	Dorea_longicatena	1.15519	2013dry
61	Dorea_longicatena	1.41565	2013dry
62	Dorea_longicatena	0.36546	2013dry
63	Dorea_longicatena	0.29918	2013dry
64	Dorea_longicatena	0.1085	2013dry
65	Dorea_longicatena	1.70681	2013dry
66	Dorea_longicatena	1.99514	2013dry
67	Dorea_longicatena	0.54939	2014dry
68	Dorea_longicatena	0.19005	2014dry
69	Dorea_longicatena	0.5828	2014dry
70	Dorea_longicatena	0.0	2014dry
71	Dorea_longicatena	0.25951	2014dry
72	Dorea_longicatena	1.88494	2014dry
73	Dorea_longicatena	0.72558	2014dry
74	Dorea_longicatena	1.54906	2014wet
75	Dorea_longicatena	0.15194	2014wet
76	Dorea_longicatena	0.97107	2014wet
77	Dorea_longicatena	1.05493	2014wet
78	Dorea_longicatena	0.99393	2014wet
79	Dorea_longicatena	0.19743	2014wet
80	Dorea_longicatena	3.66333	2014wet
81	Dorea_longicatena	1.09071	2014wet
82	Dorea_longicatena	0.57184	2014wet
83	Dorea_longicatena	0.32883	2014wet
84	Dorea_longicatena	2.36231	2014dry
45	Eubacterium_biforme	0.0	2014dry
46	Eubacterium_biforme	0.32545	2014dry
47	Eubacterium_biforme	10.12434	2014wet
48	Eubacterium_biforme	13.29237	2014dry
49	Eubacterium_biforme	12.31506	2014wet
50	Eubacterium_biforme	26.78344	2014wet
51	Eubacterium_biforme	11.4524	2014wet
52	Eubacterium_biforme	7.15514	2014wet
53	Eubacterium_biforme	4.51136	2014wet
54	Eubacterium_biforme	10.84651	2014wet
55	Eubacterium_biforme	0.34694	2014dry
56	Eubacterium_biforme	1.27443	2014dry
57	Eubacterium_biforme	1.89227	2014wet
58	Eubacterium_biforme	3.97311	2014wet
59	Eubacterium_biforme	0.84336	2013dry
60	Eubacterium_biforme	0.84123	2013dry
61	Eubacterium_biforme	0.01652	2013dry
62	Eubacterium_biforme	0.56965	2013dry
63	Eubacterium_biforme	2.16064	2013dry
64	Eubacterium_biforme	2.53573	2013dry
65	Eubacterium_biforme	6.34504	2013dry
66	Eubacterium_biforme	0.79212	2013dry
67	Eubacterium_biforme	2.88138	2014dry
68	Eubacterium_biforme	1.50873	2014dry
69	Eubacterium_biforme	0.39862	2014dry
70	Eubacterium_biforme	0.61961	2014dry
71	Eubacterium_biforme	0.38826	2014dry
72	Eubacterium_biforme	2.84008	2014dry
73	Eubacterium_biforme	2.43559	2014dry
74	Eubacterium_biforme	4.01029	2014wet
75	Eubacterium_biforme	2.39084	2014wet
76	Eubacterium_biforme	0.84503	2014wet
77	Eubacterium_biforme	9.30345	2014wet
78	Eubacterium_biforme	24.57634	2014wet
79	Eubacterium_biforme	4.54538	2014wet
80	Eubacterium_biforme	5.34129	2014wet
81	Eubacterium_biforme	9.46302	2014wet
82	Eubacterium_biforme	4.71606	2014wet
83	Eubacterium_biforme	0.67195	2014wet
84	Eubacterium_biforme	7.32237	2014dry
45	Eubacterium_eligens	0.72807	2014dry
46	Eubacterium_eligens	5.45152	2014dry
47	Eubacterium_eligens	0.75184	2014wet
48	Eubacterium_eligens	0.07779	2014dry
49	Eubacterium_eligens	1.2546	2014wet
50	Eubacterium_eligens	0.0	2014wet
51	Eubacterium_eligens	0.43953	2014wet
52	Eubacterium_eligens	0.0252	2014wet
53	Eubacterium_eligens	1.96269	2014wet
54	Eubacterium_eligens	0.75899	2014wet
55	Eubacterium_eligens	2.20475	2014dry
56	Eubacterium_eligens	1.22279	2014dry
57	Eubacterium_eligens	1.47414	2014wet
58	Eubacterium_eligens	0.12898	2014wet
59	Eubacterium_eligens	0.30025	2013dry
60	Eubacterium_eligens	0.0	2013dry
61	Eubacterium_eligens	0.69638	2013dry
62	Eubacterium_eligens	0.38718	2013dry
63	Eubacterium_eligens	1.44839	2013dry
64	Eubacterium_eligens	0.0	2013dry
65	Eubacterium_eligens	1.26153	2013dry
66	Eubacterium_eligens	0.46946	2013dry
67	Eubacterium_eligens	1.94362	2014dry
68	Eubacterium_eligens	0.0	2014dry
69	Eubacterium_eligens	3.78921	2014dry
70	Eubacterium_eligens	0.35538	2014dry
71	Eubacterium_eligens	0.16843	2014dry
72	Eubacterium_eligens	0.87436	2014dry
73	Eubacterium_eligens	4.29255	2014dry
74	Eubacterium_eligens	0.53477	2014wet
75	Eubacterium_eligens	0.0	2014wet
76	Eubacterium_eligens	0.0451	2014wet
77	Eubacterium_eligens	0.25535	2014wet
78	Eubacterium_eligens	0.07951	2014wet
79	Eubacterium_eligens	0.0317	2014wet
80	Eubacterium_eligens	2.86371	2014wet
81	Eubacterium_eligens	0.10112	2014wet
82	Eubacterium_eligens	0.16773	2014wet
83	Eubacterium_eligens	0.26182	2014wet
84	Eubacterium_eligens	0.31605	2014dry
45	Eubacterium_hallii	1.99619	2014dry
46	Eubacterium_hallii	1.8169	2014dry
47	Eubacterium_hallii	7.9858	2014wet
48	Eubacterium_hallii	6.79116	2014dry
49	Eubacterium_hallii	2.09707	2014wet
50	Eubacterium_hallii	4.81489	2014wet
51	Eubacterium_hallii	5.56053	2014wet
52	Eubacterium_hallii	4.29319	2014wet
53	Eubacterium_hallii	3.76543	2014wet
54	Eubacterium_hallii	2.24214	2014wet
55	Eubacterium_hallii	0.55809	2014dry
56	Eubacterium_hallii	2.81363	2014dry
57	Eubacterium_hallii	2.30916	2014wet
58	Eubacterium_hallii	3.29499	2014wet
59	Eubacterium_hallii	0.39072	2013dry
60	Eubacterium_hallii	1.69946	2013dry
61	Eubacterium_hallii	0.40804	2013dry
62	Eubacterium_hallii	0.34104	2013dry
63	Eubacterium_hallii	1.13965	2013dry
64	Eubacterium_hallii	0.33671	2013dry
65	Eubacterium_hallii	8.33953	2013dry
66	Eubacterium_hallii	0.74986	2013dry
67	Eubacterium_hallii	1.31569	2014dry
68	Eubacterium_hallii	4.04592	2014dry
69	Eubacterium_hallii	0.22426	2014dry
70	Eubacterium_hallii	0.23795	2014dry
71	Eubacterium_hallii	0.18525	2014dry
72	Eubacterium_hallii	1.10389	2014dry
73	Eubacterium_hallii	2.5532	2014dry
74	Eubacterium_hallii	6.67454	2014wet
75	Eubacterium_hallii	2.52566	2014wet
76	Eubacterium_hallii	1.74956	2014wet
77	Eubacterium_hallii	0.84986	2014wet
78	Eubacterium_hallii	3.70509	2014wet
79	Eubacterium_hallii	6.82911	2014wet
80	Eubacterium_hallii	5.65417	2014wet
81	Eubacterium_hallii	1.43285	2014wet
82	Eubacterium_hallii	5.58508	2014wet
83	Eubacterium_hallii	8.46666	2014wet
84	Eubacterium_hallii	3.80908	2014dry
45	Eubacterium_ramulus	0.06648	2014dry
46	Eubacterium_ramulus	0.07845	2014dry
47	Eubacterium_ramulus	0.98558	2014wet
48	Eubacterium_ramulus	0.0	2014dry
49	Eubacterium_ramulus	1.14173	2014wet
50	Eubacterium_ramulus	0.24522	2014wet
51	Eubacterium_ramulus	0.25176	2014wet
52	Eubacterium_ramulus	0.06044	2014wet
53	Eubacterium_ramulus	0.69098	2014wet
54	Eubacterium_ramulus	0.17381	2014wet
55	Eubacterium_ramulus	0.0	2014dry
56	Eubacterium_ramulus	0.0	2014dry
57	Eubacterium_ramulus	0.65443	2014wet
58	Eubacterium_ramulus	0.21437	2014wet
59	Eubacterium_ramulus	0.01099	2013dry
60	Eubacterium_ramulus	0.0	2013dry
61	Eubacterium_ramulus	0.02905	2013dry
62	Eubacterium_ramulus	0.0	2013dry
63	Eubacterium_ramulus	0.0	2013dry
64	Eubacterium_ramulus	0.01729	2013dry
65	Eubacterium_ramulus	0.0	2013dry
66	Eubacterium_ramulus	0.0	2013dry
67	Eubacterium_ramulus	0.00888	2014dry
68	Eubacterium_ramulus	0.0	2014dry
69	Eubacterium_ramulus	0.0	2014dry
70	Eubacterium_ramulus	0.0	2014dry
71	Eubacterium_ramulus	0.0	2014dry
72	Eubacterium_ramulus	0.15601	2014dry
73	Eubacterium_ramulus	0.0	2014dry
74	Eubacterium_ramulus	0.77753	2014wet
75	Eubacterium_ramulus	0.12022	2014wet
76	Eubacterium_ramulus	0.0	2014wet
77	Eubacterium_ramulus	0.0	2014wet
78	Eubacterium_ramulus	0.33446	2014wet
79	Eubacterium_ramulus	0.0	2014wet
80	Eubacterium_ramulus	0.99697	2014wet
81	Eubacterium_ramulus	2.94407	2014wet
82	Eubacterium_ramulus	0.51784	2014wet
83	Eubacterium_ramulus	0.01538	2014wet
84	Eubacterium_ramulus	0.49041	2014dry
45	Eubacterium_rectale	2.60304	2014dry
46	Eubacterium_rectale	1.61108	2014dry
47	Eubacterium_rectale	5.16135	2014wet
48	Eubacterium_rectale	0.06825	2014dry
49	Eubacterium_rectale	4.9663	2014wet
50	Eubacterium_rectale	1.97463	2014wet
51	Eubacterium_rectale	2.22418	2014wet
52	Eubacterium_rectale	2.36434	2014wet
53	Eubacterium_rectale	12.09092	2014wet
54	Eubacterium_rectale	1.90232	2014wet
55	Eubacterium_rectale	9.33345	2014dry
56	Eubacterium_rectale	1.10635	2014dry
57	Eubacterium_rectale	0.70648	2014wet
58	Eubacterium_rectale	16.09543	2014wet
59	Eubacterium_rectale	30.17475	2013dry
60	Eubacterium_rectale	1.3386	2013dry
61	Eubacterium_rectale	3.26332	2013dry
62	Eubacterium_rectale	35.03521	2013dry
63	Eubacterium_rectale	3.57575	2013dry
64	Eubacterium_rectale	2.64644	2013dry
65	Eubacterium_rectale	11.13681	2013dry
66	Eubacterium_rectale	1.45026	2013dry
67	Eubacterium_rectale	4.12207	2014dry
68	Eubacterium_rectale	5.46567	2014dry
69	Eubacterium_rectale	3.88454	2014dry
70	Eubacterium_rectale	2.03297	2014dry
71	Eubacterium_rectale	0.25747	2014dry
72	Eubacterium_rectale	0.55142	2014dry
73	Eubacterium_rectale	1.70025	2014dry
74	Eubacterium_rectale	1.10094	2014wet
75	Eubacterium_rectale	15.60519	2014wet
76	Eubacterium_rectale	1.3392	2014wet
77	Eubacterium_rectale	2.38437	2014wet
78	Eubacterium_rectale	12.02462	2014wet
79	Eubacterium_rectale	1.24664	2014wet
80	Eubacterium_rectale	2.96073	2014wet
81	Eubacterium_rectale	14.67966	2014wet
82	Eubacterium_rectale	2.80764	2014wet
83	Eubacterium_rectale	2.90374	2014wet
84	Eubacterium_rectale	3.13303	2014dry
45	Eubacterium_siraeum	12.5251	2014dry
46	Eubacterium_siraeum	0.22387	2014dry
47	Eubacterium_siraeum	0.3468	2014wet
48	Eubacterium_siraeum	0.05463	2014dry
49	Eubacterium_siraeum	0.50326	2014wet
50	Eubacterium_siraeum	0.15415	2014wet
51	Eubacterium_siraeum	2.85215	2014wet
52	Eubacterium_siraeum	0.38467	2014wet
53	Eubacterium_siraeum	0.15039	2014wet
54	Eubacterium_siraeum	0.27128	2014wet
55	Eubacterium_siraeum	1.80101	2014dry
56	Eubacterium_siraeum	0.0	2014dry
57	Eubacterium_siraeum	0.0	2014wet
58	Eubacterium_siraeum	0.0	2014wet
59	Eubacterium_siraeum	0.02172	2013dry
60	Eubacterium_siraeum	3.91543	2013dry
61	Eubacterium_siraeum	2.39164	2013dry
62	Eubacterium_siraeum	0.0	2013dry
63	Eubacterium_siraeum	1.69673	2013dry
64	Eubacterium_siraeum	6.86642	2013dry
65	Eubacterium_siraeum	0.01422	2013dry
66	Eubacterium_siraeum	1.98532	2013dry
67	Eubacterium_siraeum	0.11327	2014dry
68	Eubacterium_siraeum	0.57905	2014dry
69	Eubacterium_siraeum	0.15419	2014dry
70	Eubacterium_siraeum	0.03349	2014dry
71	Eubacterium_siraeum	36.49293	2014dry
72	Eubacterium_siraeum	0.02514	2014dry
73	Eubacterium_siraeum	0.0	2014dry
74	Eubacterium_siraeum	0.02777	2014wet
